short,long,sharpe,cumret,max_dd,total_costs
5,50,-0.7995402508491649,-0.5679360757790073,-0.6459292781044389,0.0103
5,80,-0.7621025497156816,-0.5525308856745949,-0.6311542767995579,0.0081
5,100,-0.856322075864886,-0.5901861373641195,-0.6488427445080287,0.007300000000000001
5,150,-1.2458237250349393,-0.7146398998410824,-0.7427862734947097,0.0071
5,200,-0.9466556115123207,-0.6231921620986638,-0.6514265579368204,0.0063
10,50,-0.8568358955506926,-0.5899578189838242,-0.6645500965954632,0.0077
10,80,-0.6065106077613468,-0.482250603879979,-0.6405357146365758,0.0057
10,100,-0.7426951546504044,-0.5439612552182813,-0.6587640566549784,0.0049
10,150,-1.0972906688806683,-0.6720774457489298,-0.704647018480147,0.0060999999999999995
10,200,-0.9294578277717416,-0.6167538131944295,-0.6594346615074795,0.0055
20,50,-0.47576423958235486,-0.41435259807742886,-0.5347515958673619,0.006100000000000001
20,80,-0.42609139732248946,-0.3866040652305146,-0.4749057593782038,0.0037
20,100,-0.7267617788092636,-0.5363759800617893,-0.5948983711618198,0.0033000000000000004
20,150,-1.000654736695315,-0.6404650183255665,-0.6704781337036629,0.0049
20,200,-0.7823418825434704,-0.5596774533972513,-0.5902580129820023,0.0037
30,50,-0.16680025070518065,-0.217989466803302,-0.44743883938212714,0.0057
30,80,-0.6182572861888502,-0.48582427841643927,-0.553433406325651,0.0037
30,100,-0.2117363291855426,-0.24989107198226423,-0.3880459201272136,0.0029000000000000002
30,150,-0.7034091583307693,-0.5248080901249235,-0.5519366202586515,0.0033000000000000004
30,200,-0.432915329917669,-0.3892369143928829,-0.5220149156524068,0.0025
40,50,-0.08376102572682896,-0.1547045788269572,-0.4883970822304269,0.005900000000000001
40,80,-0.4672931916674601,-0.4076323750778811,-0.49522134579907173,0.0027
40,100,-0.2145547354877116,-0.25115377746054857,-0.37117642345041524,0.0031000000000000003
40,150,-0.5886543383460137,-0.47051578820894124,-0.5353692418304907,0.0031000000000000003
40,200,-0.1409651871371689,-0.19830374412782437,-0.41641184261591013,0.0017000000000000001
